,additional_charges,dropoff_census_tract,dropoff_centroid_latitude,dropoff_centroid_location,dropoff_centroid_longitude,dropoff_community_area,fare,pickup_census_tract,pickup_centroid_latitude,pickup_centroid_location,pickup_centroid_longitude,pickup_community_area,shared_trip_authorized,tip,trip_end_timestamp,trip_id,trip_miles,trip_seconds,trip_start_timestamp,trip_total,trips_pooled
0,2.55,,41.9012069941,"{u'type': u'Point', u'coordinates': [-87.6763559892, 41.9012069941]}",-87.6763559892,24,7.5,,41.9227606205,"{u'type': u'Point', u'coordinates': [-87.6991553432, 41.9227606205]}",-87.6991553432,22,False,0,2020-01-01T00:00:00.000,c7b4fe462c1616cbba3d3028885c0193646e52c7,2.984223,545,2019-12-31T23:45:00.000,10.05,1
1,2.55,,41.8906088526,"{u'type': u'Point', u'coordinates': [-87.7560467111, 41.8906088526]}",-87.7560467111,25,5,,41.8906088526,"{u'type': u'Point', u'coordinates': [-87.7560467111, 41.8906088526]}",-87.7560467111,25,True,0,2019-12-31T23:45:00.000,e3e26505a937f49df7e1ff18472adb26d5a3d3f1,1.402218,367,2019-12-31T23:45:00.000,7.55,1
2,2.55,,41.9226862843,"{u'type': u'Point', u'coordinates': [-87.6494887289, 41.9226862843]}",-87.6494887289,7,7.5,,41.9477915865,"{u'type': u'Point', u'coordinates': [-87.6838349425, 41.9477915865]}",-87.6838349425,5,False,0,2020-01-01T00:00:00.000,9195d2bdb05eeddb08e86ce5df8396841e934eef,2.545966,698,2019-12-31T23:45:00.000,10.05,1
3,2.85,17031062700,41.9360865352,"{u'type': u'Point', u'coordinates': [-87.6661106945, 41.9360865352]}",-87.6661106945,6,15,17031243100,41.8923550478,"{u'type': u'Point', u'coordinates': [-87.674506788, 41.8923550478]}",-87.674506788,24,False,0,2020-01-01T00:00:00.000,c7a8ba228c15a9bbc187a2b3be81ec73ff9b5e73,3.639482,791,2019-12-31T23:45:00.000,17.85,1
4,2.85,,41.9000696026,"{u'type': u'Point', u'coordinates': [-87.7209182385, 41.9000696026]}",-87.7209182385,23,17.5,,41.9226862843,"{u'type': u'Point', u'coordinates': [-87.6494887289, 41.9226862843]}",-87.6494887289,7,False,4,2020-01-01T00:00:00.000,5e6bab9d02fe1266a1ce067aa37578878c6a5293,4.484932,903,2019-12-31T23:45:00.000,24.35,1
5,2.55,,41.9226862843,"{u'type': u'Point', u'coordinates': [-87.6494887289, 41.9226862843]}",-87.6494887289,7,5,,41.9442266014,"{u'type': u'Point', u'coordinates': [-87.6559981815, 41.9442266014]}",-87.6559981815,6,False,0,2020-01-01T00:00:00.000,e3ea2dfa895063c05e2ccea8bc177f73d2c129a8,1.043688,409,2019-12-31T23:45:00.000,7.55,1
6,2.55,17031839100,41.8809944707,"{u'type': u'Point', u'coordinates': [-87.6327464887, 41.8809944707]}",-87.6327464887,32,5,17031320600,41.8706073724,"{u'type': u'Point', u'coordinates': [-87.6221729369, 41.8706073724]}",-87.6221729369,32,False,0,2019-12-31T23:45:00.000,7840ed27e3b883deddcf0311e024c92dd53ef00d,1.354994,510,2019-12-31T23:45:00.000,7.55,1
7,10.32,17031320400,41.8774061234,"{u'type': u'Point', u'coordinates': [-87.6219716519, 41.8774061234]}",-87.6219716519,32,7.5,17031330100,41.859349715,"{u'type': u'Point', u'coordinates': [-87.6173580061, 41.859349715]}",-87.6173580061,33,False,0,2019-12-31T23:45:00.000,9183439ef367ff4613bc8e087e16bbc53134827c,3.223578,683,2019-12-31T23:45:00.000,17.82,1
8,2.55,17031081201,41.8991556134,"{u'type': u'Point', u'coordinates': [-87.6262105324, 41.8991556134]}",-87.6262105324,8,5,17031842200,41.9049353016,"{u'type': u'Point', u'coordinates': [-87.6499072264, 41.9049353016]}",-87.6499072264,8,False,0,2019-12-31T23:45:00.000,ac13f1784be78ed5b0c9429785d5f39cdeb01857,2.051258,557,2019-12-31T23:45:00.000,7.55,1
9,2.55,,41.9227606205,"{u'type': u'Point', u'coordinates': [-87.6991553432, 41.9227606205]}",-87.6991553432,22,5,,41.9227606205,"{u'type': u'Point', u'coordinates': [-87.6991553432, 41.9227606205]}",-87.6991553432,22,False,0,2019-12-31T23:45:00.000,c7a35ce1452d14e00b967cd471578412c4f14d4c,1.687666,415,2019-12-31T23:45:00.000,7.55,1
10,2.55,17031833100,41.8790669938,"{u'type': u'Point', u'coordinates': [-87.657005027, 41.8790669938]}",-87.657005027,28,2.5,17031832900,41.8741766252,"{u'type': u'Point', u'coordinates': [-87.6618611238, 41.8741766252]}",-87.6618611238,28,False,0,2019-12-31T23:45:00.000,e3d52cdc8399e331bede9c84887bc2f603cf5b0a,0.724865,168,2019-12-31T23:45:00.000,5.05,1
11,2.55,,41.7788768603,"{u'type': u'Point', u'coordinates': [-87.5949254391, 41.7788768603]}",-87.5949254391,42,5,,41.7923572233,"{u'type': u'Point', u'coordinates': [-87.6179313803, 41.7923572233]}",-87.6179313803,40,False,0,2019-12-31T23:45:00.000,227ea3c73f079880e0e3247fd65b40adb27c1203,1.597329,286,2019-12-31T23:45:00.000,7.55,1
12,2.55,17031280100,41.8853000224,"{u'type': u'Point', u'coordinates': [-87.6428084655, 41.8853000224]}",-87.6428084655,28,7.5,17031081100,41.9002212967,"{u'type': u'Point', u'coordinates': [-87.6291051864, 41.9002212967]}",-87.6291051864,8,False,5,2019-12-31T23:45:00.000,3162318f14e72f1d293e2a7f20ac11167708993f,2.137351,635,2019-12-31T23:45:00.000,15.05,1
13,2.55,,41.7788768603,"{u'type': u'Point', u'coordinates': [-87.5949254391, 41.7788768603]}",-87.5949254391,42,15,,41.8788655841,"{u'type': u'Point', u'coordinates': [-87.6251921424, 41.8788655841]}",-87.6251921424,32,False,0,2020-01-01T00:00:00.000,e4c8ecc153fc8c6c71d886ad497e371ffb360d14,9.220305,982,2019-12-31T23:45:00.000,17.55,1
14,2.55,17031060900,41.949829346,"{u'type': u'Point', u'coordinates': [-87.6439653703, 41.949829346]}",-87.6439653703,6,5,17031062000,41.942577185,"{u'type': u'Point', u'coordinates': [-87.6470785093, 41.942577185]}",-87.6470785093,6,False,0,2019-12-31T23:45:00.000,6b9d9f45197083ba72cfc20e4a1347eb73a6b2cd,1.006481,357,2019-12-31T23:45:00.000,7.55,1
15,2.55,17031320100,41.8849871918,"{u'type': u'Point', u'coordinates': [-87.6209929134, 41.8849871918]}",-87.6209929134,32,2.5,17031839000,41.8710158803,"{u'type': u'Point', u'coordinates': [-87.6314065252, 41.8710158803]}",-87.6314065252,32,False,3,2020-01-01T00:00:00.000,77e7cac4e4b5749bc837b4f828c3c5689d3542c6,1.325117,705,2019-12-31T23:45:00.000,8.05,1
16,2.55,17031081700,41.8920421365,"{u'type': u'Point', u'coordinates': [-87.6318639497, 41.8920421365]}",-87.6318639497,8,5,17031081600,41.8920726347,"{u'type': u'Point', u'coordinates': [-87.6288741572, 41.8920726347]}",-87.6288741572,8,False,0,2019-12-31T23:45:00.000,86b8e3b09c24fbf989e34540670d8ac3690ad603,0.499779,504,2019-12-31T23:45:00.000,7.55,1
17,2.55,,41.874005383,"{u'type': u'Point', u'coordinates': [-87.6635175498, 41.874005383]}",-87.6635175498,28,5,,41.874005383,"{u'type': u'Point', u'coordinates': [-87.6635175498, 41.874005383]}",-87.6635175498,28,False,0,2020-01-01T00:00:00.000,9156fb0becb1690afd6d19994940a83883a6444d,1.442049,425,2019-12-31T23:45:00.000,7.55,1
18,2.55,17031061800,41.946489764,"{u'type': u'Point', u'coordinates': [-87.647113634, 41.946489764]}",-87.647113634,6,5,17031832000,41.9462945357,"{u'type': u'Point', u'coordinates': [-87.6542980837, 41.9462945357]}",-87.6542980837,6,False,0,2019-12-31T23:45:00.000,9d18d43b145068eed416dbd7212c4b39916398d3,0.841892,323,2019-12-31T23:45:00.000,7.55,1
19,2.55,,41.7632467988,"{u'type': u'Point', u'coordinates': [-87.6161341112, 41.7632467988]}",-87.6161341112,69,7.5,,41.794090253,"{u'type': u'Point', u'coordinates': [-87.592310855, 41.794090253]}",-87.592310855,41,False,1,2019-12-31T23:45:00.000,abe16ce08c5f446049eeecb6669936a3fcda094c,4.403065,700,2019-12-31T23:45:00.000,11.05,1
20,2.55,17031320100,41.8849871918,"{u'type': u'Point', u'coordinates': [-87.6209929134, 41.8849871918]}",-87.6209929134,32,5,17031839100,41.8809944707,"{u'type': u'Point', u'coordinates': [-87.6327464887, 41.8809944707]}",-87.6327464887,32,False,0,2019-12-31T23:45:00.000,bb4cfbc4b6762d09129e28d7fb560b3d7881f5c0,1.192163,741,2019-12-31T23:45:00.000,7.55,1
