Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location
bd20f7b28385cc3181fb76b82608ac835bf1fcbb,4/15/2019 20:30,4/15/2019 20:45,724,2.2,17031320100,17031330100,32,33,5,2,2.55,9.55,FALSE,1,41.88498719,-87.62099291,POINT (-87.6209929134 41.8849871918),41.85934972,-87.61735801,POINT (-87.6173580061 41.859349715)
799535386c62cf22618593efb4d2c0878012af8f,4/10/2019 11:00,4/10/2019 11:15,959,2.4,17031081201,17031839100,8,32,7.5,0,0.72,8.22,TRUE,2,41.89915561,-87.62621053,POINT (-87.6262105324 41.8991556134),41.88099447,-87.63274649,POINT (-87.6327464887 41.8809944707)
314c3caf488b4a149583d14fe9826e7b881de5c8,4/13/2019 15:45,4/13/2019 16:00,824,3.2,17031060400,17031140100,6,14,7.5,0,2.55,10.05,FALSE,1,41.95067336,-87.66653628,POINT (-87.6665362813 41.9506733576),41.97114281,-87.7057767,POINT (-87.7057767012 41.9711428078)
bcfe0018955645bd3a4b2275d0993b1835473a3d,4/21/2019 13:45,4/21/2019 14:00,588,2.8,NA,NA,61,60,10,0,2.55,12.55,TRUE,1,41.80901825,-87.6591666,POINT (-87.6591665992 41.8090182499),41.83615015,-87.64878795,POINT (-87.6487879519 41.8361501547)
8016c087089cbbf82c5655f2767dbfe87485f3cd,4/3/2019 21:00,4/3/2019 21:30,1736,12.1,NA,NA,53,35,12.5,0,2.55,15.05,TRUE,3,41.6738199,-87.63573978,POINT (-87.6357397768 41.6738199043),41.83511799,-87.61867777,POINT (-87.6186777673 41.8351179863)
ec9a1f84b4f5502fca69cf86632538ac6dd912cd,4/7/2019 15:30,4/7/2019 16:30,3032,17.8,17031980000,17031081500,76,8,47.5,0,7.78,55.28,FALSE,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.89250778,-87.62621491,POINT (-87.6262149064 41.8925077809)
039f1cc467abd5010e9a1db4365056f5e1952d8d,4/9/2019 9:45,4/9/2019 10:00,687,4.6,17031071300,17031320600,7,32,7.5,0,2.55,10.05,FALSE,1,41.92177836,-87.64145976,POINT (-87.6414597588 41.9217783562),41.87060737,-87.62217294,POINT (-87.6221729369 41.8706073724)
45f86021f7c332f5416124f9f6f93df45e73de1e,4/9/2019 8:30,4/9/2019 9:00,1679,9.1,NA,NA,8,14,15,0,2.55,17.55,FALSE,1,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),41.968069,-87.72155906,POINT (-87.7215590627 41.968069)
ab872c93772a653920744dd5af093395916d5dc0,4/19/2019 12:15,4/19/2019 12:30,1378,5.8,NA,NA,39,63,12.5,0,2.55,15.05,FALSE,1,41.80891628,-87.59618334,POINT (-87.5961833442 41.8089162826),41.79543063,-87.69643523,POINT (-87.6964352325 41.795430631)
63523c9e0f17d154cebf6347d8f5cf689a226f3e,4/13/2019 17:00,4/13/2019 17:00,436,1.7,17031320100,17031081401,32,8,5,0,2.55,7.55,FALSE,1,41.88498719,-87.62099291,POINT (-87.6209929134 41.8849871918),41.89503345,-87.61971067,POINT (-87.6197106717 41.8950334495)
a14ababee1bf8beda1454193164811b4c0ad9660,4/20/2019 10:45,4/20/2019 11:15,1757,5.6,NA,NA,43,67,15,0,2.55,17.55,FALSE,1,41.76157791,-87.57278199,POINT (-87.5727819867 41.7615779081),41.77592883,-87.66659627,POINT (-87.6665962653 41.7759288274)
8aa7a1e35d74340415f4817d02ac782e29da9fbb,4/17/2019 23:15,4/17/2019 23:30,1205,5.1,17031081700,17031062800,8,6,7.5,0,2.55,10.05,FALSE,1,41.89204214,-87.63186395,POINT (-87.6318639497 41.8920421365),41.93615907,-87.66126522,POINT (-87.6612652184 41.936159071)
907fcadd69b2a0fa6308f9e424fcaecca22126f5,4/4/2019 18:15,4/4/2019 18:15,399,2.1,NA,NA,69,68,7.5,0,0,7.5,TRUE,2,41.7632468,-87.61613411,POINT (-87.6161341112 41.7632467988),41.77719625,-87.64249753,POINT (-87.6424975271 41.7771962546)
afc604741069b8c9055e9e6960400865b99b65ce,4/18/2019 19:45,4/18/2019 20:30,2725,25.9,17031980000,17031280100,76,28,50,0,8.41,58.41,FALSE,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.88530002,-87.64280847,POINT (-87.6428084655 41.8853000224)
0639c69c8451f624245eeae512f2797080c22545,4/11/2019 20:15,4/11/2019 20:45,2431,26.7,NA,NA,8,NA,35,0,2.55,37.55,FALSE,1,41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),NA,NA,NA
d20569cd98fa0e9a230e3b477423077527d76061,4/13/2019 16:30,4/13/2019 16:45,325,0.8,17031081800,17031081202,8,8,5,0,2.55,7.55,FALSE,1,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.90278805,-87.62614559,POINT (-87.6261455896 41.9027880476)
c2cefb7330f247f6d9e269b8472f28949aa6a43a,4/2/2019 19:15,4/2/2019 19:15,335,1.4,17031330100,17031320600,33,32,5,0,2.55,7.55,FALSE,1,41.85934972,-87.61735801,POINT (-87.6173580061 41.859349715),41.87060737,-87.62217294,POINT (-87.6221729369 41.8706073724)
4750ba587b41bd0735432223bec6e5cc2c89d615,4/8/2019 21:45,4/8/2019 21:45,439,1.6,17031831000,17031242900,22,24,5,0,2.55,7.55,FALSE,1,41.91600527,-87.67509512,POINT (-87.6750951155 41.9160052737),41.89219643,-87.6842894,POINT (-87.6842894005 41.8921964292)
15a094d9f39b18d0e54de3ed59dc64f172ac764e,4/12/2019 21:00,4/12/2019 21:15,958,4.5,17031242200,17031320100,24,32,10,1,2.55,13.55,FALSE,1,41.8995898,-87.67471913,POINT (-87.6747191345 41.8995897957),41.88498719,-87.62099291,POINT (-87.6209929134 41.8849871918)
fcd82c2347f127902a717d8ede8851939d0a4f5c,4/26/2019 13:15,4/26/2019 13:30,1201,9.9,NA,NA,NA,15,15,0,2.55,17.55,FALSE,1,NA,NA,NA,41.95402765,-87.76339903,POINT (-87.7633990316 41.9540276487)
8946e5f795c6ccd5c45888ef80c55ee080295152,4/27/2019 2:30,4/27/2019 2:45,594,2.9,NA,NA,1,77,7.5,2,0,9.5,TRUE,2,42.00962288,-87.67016686,POINT (-87.6701668569 42.0096228806),41.9867118,-87.66341641,POINT (-87.6634164054 41.9867117999)
8ae3f210dbb16c8ce9cfc4c00338f26814110ad0,4/19/2019 12:00,4/19/2019 12:15,697,2.8,NA,NA,70,NA,2.5,0,2.55,5.05,TRUE,5,41.74575771,-87.7083657,POINT (-87.7083657043 41.7457577128),NA,NA,NA
633a2acf51a92ecd2e7662f4bb4ab42df7050b65,4/24/2019 13:00,4/24/2019 13:45,2531,19.2,NA,17031031100,NA,3,17.5,0,2.55,20.05,TRUE,2,NA,NA,NA,41.97266796,-87.6638655,POINT (-87.6638654956 41.9726679555)
a1ac546150cf3149d242090411f1a8e5cafd0091,4/11/2019 19:00,4/11/2019 19:30,1899,13.9,17031841900,17031660900,28,66,15,0,0,15,TRUE,2,41.86790242,-87.64295867,POINT (-87.6429586652 41.8679024175),41.76810629,-87.6980008,POINT (-87.6980008039 41.7681062939)
6d32ce7d3e28d2122aa0f598ce51a481adf8d3ca,4/12/2019 23:45,4/13/2019 0:00,805,9.3,17031150200,17031081000,15,8,12.5,0,2.55,15.05,FALSE,1,41.9606757,-87.75240914,POINT (-87.7524091367 41.9606756968),41.90026569,-87.63210922,POINT (-87.6321092196 41.9002656868)
45344e064ed6d7d02fcd008721b1879982f9128c,4/22/2019 0:15,4/22/2019 0:30,360,0.9,17031063000,17031060900,6,6,0,0,0.72,0.72,TRUE,1,41.93631013,-87.65156259,POINT (-87.6515625922 41.9363101308),41.94982935,-87.64396537,POINT (-87.6439653703 41.949829346)
60bb1a30feaf4dfcd4a373f9887db8f644f6dd43,4/26/2019 14:45,4/26/2019 14:45,343,1.2,17031050200,17031160602,5,16,5,0,2.55,7.55,FALSE,1,41.95773557,-87.6837181,POINT (-87.683718102 41.957735565),41.95577179,-87.7012131,POINT (-87.7012131039 41.9557717866)
a357e9a99800247c5c2cb62b4559b08b78230769,4/8/2019 6:00,4/8/2019 6:15,665,3.7,NA,NA,71,44,10,0,2.55,12.55,FALSE,1,41.74420515,-87.65630599,POINT (-87.6563059862 41.7442051463),41.74020576,-87.61596952,POINT (-87.6159695226 41.7402057565)
0f7f36f4022d0b7d8b2b00ff1b488706eff52621,4/24/2019 9:45,4/24/2019 10:00,872,7.2,NA,NA,28,16,12.5,2,2.55,17.05,FALSE,1,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.95358213,-87.72345239,POINT (-87.7234523905 41.9535821253)
32f03e8366013f63baf1dda8100a395cd2f9f5a4,4/11/2019 19:15,4/11/2019 19:30,801,3.2,17031220602,17031240500,22,24,7.5,0,2.55,10.05,FALSE,1,41.92932971,-87.71197425,POINT (-87.7119742544 41.9293297134),41.9119723,-87.68364292,POINT (-87.6836429218 41.9119723006)
6e1594f8f4e461664d14757d90113055e5a4c9bc,4/16/2019 20:45,4/16/2019 21:00,591,1.7,17031081401,17031281900,8,28,5,0,2.55,7.55,FALSE,1,41.89503345,-87.61971067,POINT (-87.6197106717 41.8950334495),41.87925508,-87.642649,POINT (-87.642648998 41.8792550844)
6a408894e9cca69707142d61642a7a3a24ba21e9,4/4/2019 7:15,4/4/2019 7:15,425,1.1,17031081500,17031839100,8,32,5,3,2.55,10.55,FALSE,1,41.89250778,-87.62621491,POINT (-87.6262149064 41.8925077809),41.88099447,-87.63274649,POINT (-87.6327464887 41.8809944707)
cc70e31cd8455bde95323f403a35e2bdca15b9bb,4/6/2019 5:15,4/6/2019 5:45,1688,17.4,17031081800,17031980000,8,76,30,3,7.55,40.55,FALSE,1,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201)
4a56d88a1d04e23fef5624ca35c66adf7868388c,4/27/2019 21:30,4/27/2019 21:45,943,4.4,NA,NA,31,8,10,0,2.55,12.55,FALSE,1,41.85026637,-87.66756931,POINT (-87.667569312 41.8502663663),41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111)
