"Trip.ID","Trip.Start.Timestamp","Trip.End.Timestamp","Trip.Seconds","Trip.Miles","Pickup.Census.Tract","Dropoff.Census.Tract","Pickup.Community.Area","Dropoff.Community.Area","Fare","Tip","Additional.Charges","Trip.Total","Shared.Trip.Authorized","Trips.Pooled","Pickup.Centroid.Latitude","Pickup.Centroid.Longitude","Pickup.Centroid.Location","Dropoff.Centroid.Latitude","Dropoff.Centroid.Longitude","Dropoff.Centroid.Location"
"b3d6598471373395631988813f592f29af83be22","08/16/2019 06:15:00 PM","08/16/2019 06:45:00 PM",1742,4.1,17031240300,17031081401,24,8,10,0,2.55,12.55,"false",1,41.9123643542,-87.6750627566,"POINT (-87.6750627566 41.9123643542)",41.8950334495,-87.6197106717,"POINT (-87.6197106717 41.8950334495)"
"7ee4f810cba91ec997346c671584838bc0755111","08/16/2019 08:30:00 AM","08/16/2019 09:00:00 AM",1628,18.1,NA,NA,53,32,25,0,2.55,27.55,"false",1,41.6738199043,-87.6357397768,"POINT (-87.6357397768 41.6738199043)",41.8788655841,-87.6251921424,"POINT (-87.6251921424 41.8788655841)"
"ffbc51dbbe1df1b6725d2f28394a13da7a4a07fd","08/03/2019 06:45:00 PM","08/03/2019 07:30:00 PM",2577,15.5,NA,NA,15,60,7.5,0,2.55,10.05,"true",3,41.9540276487,-87.7633990316,"POINT (-87.7633990316 41.9540276487)",41.8361501547,-87.6487879519,"POINT (-87.6487879519 41.8361501547)"
"c366161003ccbd8f502b316dcfe0ec668e74c3e2","08/16/2019 05:00:00 PM","08/16/2019 05:15:00 PM",1009,3.1,17031081100,17031832500,8,7,10,1,2.55,13.55,"false",1,41.9002212967,-87.6291051864,"POINT (-87.6291051864 41.9002212967)",41.9218774613,-87.6640782395,"POINT (-87.6640782395 41.9218774613)"
"fad067238ffc63b5e52ddd0048f12647fab3ae27","08/05/2019 03:45:00 PM","08/05/2019 04:00:00 PM",1018,2.9,17031071000,17031221400,7,22,10,0,2.55,12.55,"false",1,41.9217014922,-87.6559118484,"POINT (-87.6559118484 41.9217014922)",41.9208017043,-87.6945323419,"POINT (-87.6945323419 41.9208017043)"
"9f0e7904e1de0ac76681faf60eb20cdf358c3cde","08/21/2019 10:00:00 AM","08/21/2019 10:00:00 AM",401,1.9,NA,NA,13,NA,5,0,2.55,7.55,"false",1,41.9836363072,-87.7235831853,"POINT (-87.7235831853 41.9836363072)",NA,NA,""
"aa140dd729c07c5f0de4d8873cf9f3a68e2b3e6f","08/24/2019 12:00:00 PM","08/24/2019 12:15:00 PM",1144,2.5,17031081201,17031281900,8,28,10,0,2.55,12.55,"false",1,41.8991556134,-87.6262105324,"POINT (-87.6262105324 41.8991556134)",41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)"
"1d18d79d524fd2dd64120d641edbf939cd291c09","08/18/2019 12:00:00 AM","08/18/2019 12:00:00 AM",595,1.9,17031081402,17031280100,8,28,5,0,2.55,7.55,"false",1,41.8919715078,-87.6129454143,"POINT (-87.6129454143 41.8919715078)",41.8853000224,-87.6428084655,"POINT (-87.6428084655 41.8853000224)"
"58a6291b017ace3fe5f9b54585b3e383200b4a70","08/06/2019 05:45:00 PM","08/06/2019 06:00:00 PM",1337,2.8,17031081700,17031241600,8,24,10,0,2.55,12.55,"false",1,41.8920421365,-87.6318639497,"POINT (-87.6318639497 41.8920421365)",41.9066507664,-87.6653376596,"POINT (-87.6653376596 41.9066507664)"
"392997c7fc5b0222b41cb679b0c8ae6046f5daf8","08/26/2019 08:45:00 PM","08/26/2019 08:45:00 PM",428,1.3,17031243500,17031081100,24,8,5,3,2.55,10.55,"false",1,41.8926581076,-87.6525344838,"POINT (-87.6525344838 41.8926581076)",41.9002212967,-87.6291051864,"POINT (-87.6291051864 41.9002212967)"
"3d81de252fc27716c0ddb77fe97e6e281524d731","08/11/2019 12:15:00 AM","08/11/2019 12:30:00 AM",622,2.5,17031833000,17031310600,28,31,7.5,0,2.55,10.05,"false",1,41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)",41.8563332167,-87.6595642391,"POINT (-87.6595642391 41.8563332167)"
"9ccd24fa1789bf42748dc2214dfff7bd7ee1e767","08/27/2019 04:00:00 AM","08/27/2019 04:15:00 AM",780,4.4,NA,NA,6,16,10,0,0.72,10.72,"false",1,41.9442266014,-87.6559981815,"POINT (-87.6559981815 41.9442266014)",41.9535821253,-87.7234523905,"POINT (-87.7234523905 41.9535821253)"
"80b9609404a0907b02e9cbfd20555fdb5aa30c05","08/30/2019 09:30:00 AM","08/30/2019 10:00:00 AM",1054,4.2,17031221100,17031831800,22,13,2.5,0,2.55,5.05,"true",2,41.9210196071,-87.7103591445,"POINT (-87.7103591445 41.9210196071)",41.9782942489,-87.7164304157,"POINT (-87.7164304157 41.9782942489)"
