"Trip ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area","Fare","Tip","Additional Charges","Trip Total","Shared Trip Authorized","Trips Pooled","Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid Location"
"6bf0002b052a5a3ae9dde83184983b9932f8e7a6","12/15/2019 06:00:00 PM","12/15/2019 06:00:00 PM",693,3.54,17031831000,17031833000,22,28,17.5,0,2.85,20.35,FALSE,1,41.9160052737,-87.6750951155,"POINT (-87.6750951155 41.9160052737)",41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)"
"5af6af6fac90a0dd7b3253d0f9e94469a7047895","12/15/2019 06:15:00 AM","12/15/2019 06:30:00 AM",836,5.293748,NA,NA,19,NA,10,0,2.55,12.55,FALSE,1,41.9272609555,-87.7655016086,"POINT (-87.7655016086 41.9272609555)",NA,NA,NA
"d97c1f3b88c60a041885ace22bb1ee4aaee5c205","12/04/2019 03:00:00 PM","12/04/2019 03:45:00 PM",2835,17.534663,17031980000,17031081700,76,8,30,0,7.56,37.56,FALSE,1,41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)",41.8920421365,-87.6318639497,"POINT (-87.6318639497 41.8920421365)"
"a3fae58682e711bf01ae464c19dbe28423531035","12/15/2019 04:30:00 PM","12/15/2019 05:00:00 PM",1255,3.33,17031071100,17031050200,7,5,10,0,2.55,12.55,FALSE,1,41.9217781876,-87.6510618838,"POINT (-87.6510618838 41.9217781876)",41.957735565,-87.683718102,"POINT (-87.683718102 41.957735565)"
"b03a7ac1d77d75fddd650e42546f40f4cd0ee9e7","12/06/2019 12:00:00 PM","12/06/2019 12:15:00 PM",1742,15.46,NA,NA,NA,28,25,0,2.55,27.55,FALSE,1,NA,NA,NA,41.874005383,-87.6635175498,"POINT (-87.6635175498 41.874005383)"
"2ea616d8e8d30f638bdff4508e52509e225f9445","12/20/2019 11:00:00 AM","12/20/2019 11:15:00 AM",1656,14.79057,17031980000,17031242600,76,24,22.5,0,9.05,31.55,FALSE,1,41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)",41.9005603836,-87.6941973701,"POINT (-87.6941973701 41.9005603836)"
"694c29f44b36f0f5d80c7d80fd156951a78a0ba1","12/23/2019 11:15:00 AM","12/23/2019 11:30:00 AM",951,3.625248,17031240300,17031281900,24,28,10,1,2.55,13.55,FALSE,1,41.9123643542,-87.6750627566,"POINT (-87.6750627566 41.9123643542)",41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)"
"72ca08cc9effc603b0cae135f02c15a69acc45fa","12/17/2019 04:45:00 PM","12/17/2019 05:00:00 PM",519,0.876351,17031320100,17031081600,32,8,5,1,2.55,8.55,FALSE,1,41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"3c5047f9512cad0489fa15f8826746e21b7c4630","12/07/2019 12:00:00 AM","12/07/2019 12:00:00 AM",563,1.725928,17031061500,17031070400,6,7,5,0,2.55,7.55,FALSE,1,41.9452823311,-87.6615450961,"POINT (-87.6615450961 41.9452823311)",41.9289672664,-87.6561568309,"POINT (-87.6561568309 41.9289672664)"
"81289386a2808d996bdd2d4dae881b57b923ece3","12/27/2019 03:00:00 PM","12/27/2019 03:15:00 PM",629,1.778567,17031081500,17031833000,8,28,5,0,2.55,7.55,FALSE,1,41.8925077809,-87.6262149064,"POINT (-87.6262149064 41.8925077809)",41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)"
"69d47243c89811033b94bb89c0c95d70f366ae94","12/11/2019 03:30:00 PM","12/11/2019 03:30:00 PM",531,2.18,17031330100,17031839100,33,32,7.5,3,7.55,18.05,FALSE,1,41.859349715,-87.6173580061,"POINT (-87.6173580061 41.859349715)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"5fd84b48cf08ed145bd3278361feaac859b1397c","12/27/2019 05:30:00 PM","12/27/2019 05:45:00 PM",1027,3.304328,17031161300,17031221300,16,22,10,0,2.55,12.55,FALSE,1,41.9426995777,-87.7310024842,"POINT (-87.7310024842 41.9426995777)",41.9211259143,-87.6997544065,"POINT (-87.6997544065 41.9211259143)"
"02bbb78f51f70f52f11e98c44e805cdf622d8418","12/30/2019 06:45:00 PM","12/30/2019 07:00:00 PM",615,1.55,17031281900,17031081403,28,8,5,2,2.55,9.55,FALSE,1,41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)",41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)"
"39134ac4d47ba0c95520786704be621da5b22c93","12/19/2019 10:00:00 PM","12/19/2019 10:30:00 PM",946,7.410976,17031320100,17031061100,32,6,12.5,0,2.55,15.05,FALSE,1,41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)",41.9491397709,-87.6568039088,"POINT (-87.6568039088 41.9491397709)"
"638bb7f3f3e73c0a9bec55763317b3460603915f","12/18/2019 11:15:00 PM","12/18/2019 11:15:00 PM",271,0.578054,17031081700,17031081600,8,8,2.5,5,2.55,10.05,FALSE,1,41.8920421365,-87.6318639497,"POINT (-87.6318639497 41.8920421365)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"3560c9c10a098a6f5d312c8c792542fe6f54d496","12/03/2019 04:15:00 PM","12/03/2019 04:30:00 PM",846,2.345094,17031839100,17031330100,32,33,7.5,0,2.55,10.05,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.859349715,-87.6173580061,"POINT (-87.6173580061 41.859349715)"
"9cf286d1c687c53d1028014ace19ef5f9a008210","12/19/2019 07:00:00 PM","12/19/2019 07:15:00 PM",297,1.01,17031060900,17031063302,6,6,5,0,0,5,TRUE,1,41.949829346,-87.6439653703,"POINT (-87.6439653703 41.949829346)",41.9347624564,-87.6398538587,"POINT (-87.6398538587 41.9347624564)"
"7762fa67d69b923e0233f8fd534cfe15df3c3fb3","12/09/2019 03:15:00 PM","12/09/2019 03:30:00 PM",627,1.28,17031161000,17031160800,16,16,7.5,0,2.55,10.05,FALSE,1,41.9499744545,-87.7306842554,"POINT (-87.7306842554 41.9499744545)",41.9502120955,-87.7128142315,"POINT (-87.7128142315 41.9502120955)"
"4674c1d7289a4af6d0592996b480c2588420ed5b","12/03/2019 11:45:00 PM","12/04/2019 12:00:00 AM",831,3.223418,17031833000,17031081100,28,8,7.5,0,2.55,10.05,FALSE,1,41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)",41.9002212967,-87.6291051864,"POINT (-87.6291051864 41.9002212967)"
"fe581d46113161a75b22e5c07c228cdd98d68373","12/22/2019 03:15:00 AM","12/22/2019 03:30:00 AM",961,6.655645,NA,NA,6,2,12.5,0,2.55,15.05,FALSE,1,41.9442266014,-87.6559981815,"POINT (-87.6559981815 41.9442266014)",42.001571027,-87.6950125892,"POINT (-87.6950125892 42.001571027)"
"1850db921f394d0609e749cc5e9c8cb02cbb6ccf","12/25/2019 10:45:00 PM","12/25/2019 11:15:00 PM",1537,7.562256,NA,NA,19,NA,10,0,2.55,12.55,TRUE,4,41.9272609555,-87.7655016086,"POINT (-87.7655016086 41.9272609555)",NA,NA,NA
"9a2cca2e65c6ba26ac8e5aefa341d8b000148e1b","12/19/2019 07:30:00 AM","12/19/2019 07:45:00 AM",977,3.643792,NA,NA,19,16,10,0,2.55,12.55,FALSE,1,41.9272609555,-87.7655016086,"POINT (-87.7655016086 41.9272609555)",41.9535821253,-87.7234523905,"POINT (-87.7234523905 41.9535821253)"
"02af8f550899426919a512ae8fb25dd5a4a06de6","12/11/2019 04:00:00 AM","12/11/2019 04:00:00 AM",734,3.949514,NA,NA,22,8,7.5,19,2.55,29.05,FALSE,1,41.9227606205,-87.6991553432,"POINT (-87.6991553432 41.9227606205)",41.899602111,-87.6333080367,"POINT (-87.6333080367 41.899602111)"
"f86f72e4838eff9839e5c15d6f16447491d77b86","12/04/2019 02:45:00 PM","12/04/2019 02:45:00 PM",305,0.84,NA,NA,68,68,5,0,2.55,7.55,FALSE,1,41.7771962546,-87.6424975271,"POINT (-87.6424975271 41.7771962546)",41.7771962546,-87.6424975271,"POINT (-87.6424975271 41.7771962546)"
"fc87dbfabe77e5dd2d8c79adbab9f206b635c6ad","12/23/2019 02:45:00 PM","12/23/2019 03:15:00 PM",1104,3.45,17031020500,17031050300,2,5,7.5,0,2.55,10.05,FALSE,1,42.0013132491,-87.684198195,"POINT (-87.684198195 42.0013132491)",41.9576519161,-87.6915302475,"POINT (-87.6915302475 41.9576519161)"
"f3542a171a4acad5cd881cc14d1ffee077f13ac1","12/30/2019 12:45:00 AM","12/30/2019 01:30:00 AM",2345,13.845705,NA,NA,28,28,25,0,2.55,27.55,FALSE,1,41.874005383,-87.6635175498,"POINT (-87.6635175498 41.874005383)",41.874005383,-87.6635175498,"POINT (-87.6635175498 41.874005383)"
"43979652b6f870e08b30e53b39e6042e0e0f60a2","12/04/2019 09:45:00 AM","12/04/2019 10:00:00 AM",832,7.046529,17031839100,17031411000,32,41,12.5,0,2.55,15.05,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.7905062613,-87.5831437169,"POINT (-87.5831437169 41.7905062613)"
"8ca21644d51b840f3f698c4e5cab762159dcc9fe","12/07/2019 11:00:00 PM","12/07/2019 11:00:00 PM",740,5.236651,17031210501,17031242100,21,24,10,0,2.55,12.55,FALSE,1,41.9374017942,-87.7223302976,"POINT (-87.7223302976 41.9374017942)",41.8996701799,-87.6698377982,"POINT (-87.6698377982 41.8996701799)"
"7db673e0c45ebfe71e411dc2849cd513e2fc5bb7","12/15/2019 04:30:00 PM","12/15/2019 04:30:00 PM",648,2.68,17031832600,17031081600,7,8,5,0,2.55,7.55,FALSE,1,41.9147473049,-87.6540070286,"POINT (-87.6540070286 41.9147473049)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"d32eb2e265e8c5e6592485a399b1e686c719f53c","12/04/2019 03:30:00 PM","12/04/2019 04:45:00 PM",4357,18.016864,17031839100,17031980000,32,76,37.5,3,7.55,48.05,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)"
"1b9ed3c9e6fcfca20a414224e9fd97e45e5f00e1","12/22/2019 10:45:00 PM","12/22/2019 11:00:00 PM",1269,8.610363,17031710400,17031842000,71,35,15,0,2.55,17.55,FALSE,1,41.7539859024,-87.6709898632,"POINT (-87.6709898632 41.7539859024)",41.8349623252,-87.6251541272,"POINT (-87.6251541272 41.8349623252)"
"9f6b00b25fd9e225db708b1de56cbf72de816a2c","12/08/2019 06:45:00 PM","12/08/2019 07:00:00 PM",715,3.77,NA,NA,71,68,10,0,2.55,12.55,FALSE,1,41.7442051463,-87.6563059862,"POINT (-87.6563059862 41.7442051463)",41.7771962546,-87.6424975271,"POINT (-87.6424975271 41.7771962546)"
"d7e66ebcf804fd698d95838fbc6411217ad3b7a2","12/26/2019 01:30:00 PM","12/26/2019 01:45:00 PM",931,1.98353,NA,NA,28,32,7.5,1,2.55,11.05,FALSE,1,41.874005383,-87.6635175498,"POINT (-87.6635175498 41.874005383)",41.8788655841,-87.6251921424,"POINT (-87.6251921424 41.8788655841)"
"65462b89ed1717505f386768f671d8f1ad98ef52","12/05/2019 08:45:00 AM","12/05/2019 09:15:00 AM",1664,10.15,NA,NA,24,NA,25,0,2.55,27.55,FALSE,1,41.9012069941,-87.6763559892,"POINT (-87.6763559892 41.9012069941)",NA,NA,NA
"3f6c66ca076b5ac8ab70ef3626fec4567e6808b2","12/19/2019 12:45:00 PM","12/19/2019 01:00:00 PM",690,1.681006,17031081403,17031839100,8,32,7.5,1,2.55,11.05,FALSE,1,41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"89b1f70e4ba66e1ab713ececa64e026969dcf5bb","12/16/2019 06:00:00 PM","12/16/2019 06:15:00 PM",668,1.933333,17031070400,17031062000,7,6,7.5,0,2.55,10.05,FALSE,1,41.9289672664,-87.6561568309,"POINT (-87.6561568309 41.9289672664)",41.942577185,-87.6470785093,"POINT (-87.6470785093 41.942577185)"
"07e4cbfa9d321f501682e3635826b030aa610db4","12/01/2019 07:15:00 PM","12/01/2019 07:15:00 PM",199,0.74285,17031831100,17031161300,21,16,2.5,0,2.55,5.05,FALSE,1,41.942859303,-87.717503858,"POINT (-87.717503858 41.942859303)",41.9426995777,-87.7310024842,"POINT (-87.7310024842 41.9426995777)"
