"Trip ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area","Fare","Tip","Additional Charges","Trip Total","Shared Trip Authorized","Trips Pooled","Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid Location"
"b945da5e9fe30f9ae562d39a2328b398d77a0e69","02/16/2019 11:45:00 AM","02/16/2019 12:00:00 PM",1001,9.74336376699751,17031430700,17031320100,43,32,15,0,2.55,17.55,FALSE,1,41.7646425154,-87.5635848124,"POINT (-87.5635848124 41.7646425154)",41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)"
"7b0a26d3daf8512f451795ee512e3dcca901db45","02/15/2019 10:00:00 PM","02/15/2019 10:15:00 PM",1084,7.05819012768,17031071400,17031161300,7,16,12.5,0,2.55,15.05,FALSE,1,41.922082541,-87.6341560931,"POINT (-87.6341560931 41.922082541)",41.9426995777,-87.7310024842,"POINT (-87.7310024842 41.9426995777)"
"239691a6fd7ca01a11467b62ac291d5f4547041e","02/03/2019 06:15:00 PM","02/03/2019 06:30:00 PM",857,2.87162322416,17031330100,17031281900,33,28,7.5,0,2.55,10.05,FALSE,1,41.859349715,-87.6173580061,"POINT (-87.6173580061 41.859349715)",41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)"
"57b8611ac5d3f0abe8248f80a42c789b214f5687","02/16/2019 10:00:00 AM","02/16/2019 10:15:00 AM",884,5.35056499767809,17031070101,17031839100,7,32,10,0,2.55,12.55,FALSE,1,41.9292629902,-87.6358909539,"POINT (-87.6358909539 41.9292629902)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"718a4e1e983cdbab478cc3d0ea3b351f7466ea73","02/06/2019 05:30:00 AM","02/06/2019 06:00:00 AM",1734,18.1749370984521,NA,17031841900,NA,28,25,5,2.55,32.55,FALSE,1,NA,NA,NA,41.8679024175,-87.6429586652,"POINT (-87.6429586652 41.8679024175)"
"8a40b972d5f98949c4be28f9e9d450ea96fb16bf","02/20/2019 11:00:00 PM","02/20/2019 11:15:00 PM",776,3.76772378448,NA,NA,NA,15,7.5,0,2.55,10.05,FALSE,1,NA,NA,NA,41.9540276487,-87.7633990316,"POINT (-87.7633990316 41.9540276487)"
"e40d32e90b2d068a352f90318c5f089395d6758e","02/23/2019 06:00:00 PM","02/23/2019 06:15:00 PM",531,1.62578477240585,17031081800,17031080400,8,8,5,0,2.55,7.55,FALSE,1,41.8932163595,-87.6378442095,"POINT (-87.6378442095 41.8932163595)",41.9074128162,-87.6409015248,"POINT (-87.6409015248 41.9074128162)"
"7b16da286a2bc962c99ee832cb170cf1d4215456","02/17/2019 06:15:00 PM","02/17/2019 06:45:00 PM",1610,6.9351471936,17031050600,17031839100,5,32,10,2,2.55,14.55,FALSE,1,41.9505456965,-87.6761824959,"POINT (-87.6761824959 41.9505456965)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"8ebac0814658e5794874c2be2a002d3c7c20dba8","02/07/2019 05:15:00 AM","02/07/2019 05:45:00 AM",1988,16.9275226313841,NA,NA,4,42,25,5,2.55,32.55,FALSE,1,41.9751709433,-87.6875155152,"POINT (-87.6875155152 41.9751709433)",41.7788768603,-87.5949254391,"POINT (-87.5949254391 41.7788768603)"
"a9fce7f5b13d9935139e8fe414f19cbce7eaa6e6","02/26/2019 01:00:00 AM","02/26/2019 01:15:00 AM",872,4.94654394341903,17031081800,17031062000,8,6,10,0,2.55,12.55,FALSE,1,41.8932163595,-87.6378442095,"POINT (-87.6378442095 41.8932163595)",41.942577185,-87.6470785093,"POINT (-87.6470785093 41.942577185)"
"634499872a8abeb523e5aa7df7644452d6b72088","02/11/2019 09:15:00 AM","02/11/2019 09:30:00 AM",532,0.61313988030447,17031839100,17031320100,32,32,5,0,2.55,7.55,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)"
"acf25fbdfa35310a6b6e3c2fa672bed4fb2daf4c","02/26/2019 07:45:00 AM","02/26/2019 08:00:00 AM",1379,5.7517021,17031282800,17031081300,28,8,0,0,0.72,0.72,TRUE,1,41.8702687225,-87.6849139261,"POINT (-87.6849139261 41.8702687225)",41.8983317935,-87.6207628651,"POINT (-87.6207628651 41.8983317935)"
"aafc15ae6086675abeddf6049c55d41e7c0db818","02/20/2019 02:30:00 PM","02/20/2019 02:45:00 PM",675,3.06466957762831,17031839900,17031310800,60,31,7.5,0,2.55,10.05,FALSE,1,41.8270879119,-87.6486268165,"POINT (-87.6486268165 41.8270879119)",41.8559343655,-87.668574537,"POINT (-87.668574537 41.8559343655)"
"42b6000fedfc213b2f847e87b2de933714fe196b","02/19/2019 11:30:00 AM","02/19/2019 11:30:00 AM",187,0.91909343184,NA,NA,44,44,5,2,2.55,9.55,FALSE,1,41.7402057565,-87.6159695226,"POINT (-87.6159695226 41.7402057565)",41.7402057565,-87.6159695226,"POINT (-87.6159695226 41.7402057565)"
"ddb7a35dba00c7b0127ab02c207da778daf4b18b","02/02/2019 10:00:00 PM","02/02/2019 10:15:00 PM",973,3.22877291084554,17031241400,17031071400,24,7,10,0,2.55,12.55,FALSE,1,41.906025969,-87.6753116216,"POINT (-87.6753116216 41.906025969)",41.922082541,-87.6341560931,"POINT (-87.6341560931 41.922082541)"
"3b9feaf1f94a8883f05a6b4eaf25b11cb06e9acd","02/20/2019 09:30:00 AM","02/20/2019 09:45:00 AM",622,1.70269897743599,17031280100,17031081401,28,8,5,0,2.55,7.55,FALSE,1,41.8853000224,-87.6428084655,"POINT (-87.6428084655 41.8853000224)",41.8950334495,-87.6197106717,"POINT (-87.6197106717 41.8950334495)"
"21853a23ba975f7e74571a38d648ec1ada7a43b8","02/09/2019 02:45:00 PM","02/09/2019 03:00:00 PM",1120,5.53411569927139,17031980100,NA,56,NA,12.5,0,7.82,20.32,FALSE,1,41.785998518,-87.7509342894,"POINT (-87.7509342894 41.785998518)",NA,NA,NA
"c9c52fb34adaba6231756eec5ee3026cd36fd6ba","02/03/2019 07:00:00 AM","02/03/2019 07:15:00 AM",1310,13.53534417776,17031450300,17031320100,45,32,17.5,0,2.57,20.07,FALSE,1,41.7419428604,-87.5790888158,"POINT (-87.5790888158 41.7419428604)",41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)"
"0f332e0c4e93da28aca404653c3fc729fb3edea5","02/22/2019 10:00:00 PM","02/22/2019 10:00:00 PM",288,1.08501496416,17031081800,17031080300,8,8,5,0,2.55,7.55,FALSE,1,41.8932163595,-87.6378442095,"POINT (-87.6378442095 41.8932163595)",41.9074919303,-87.6357600901,"POINT (-87.6357600901 41.9074919303)"
"562b48ca37f7a4017bd0e19e815103362d16026c","02/24/2019 10:15:00 PM","02/24/2019 10:30:00 PM",690,4.97702454064,NA,NA,77,6,7.5,0,0,7.5,TRUE,1,41.9867117999,-87.6634164054,"POINT (-87.6634164054 41.9867117999)",41.9442266014,-87.6559981815,"POINT (-87.6559981815 41.9442266014)"
"afef785d53f83d2e0ee965a4fc857a5dfd6eaf44","02/19/2019 03:30:00 PM","02/19/2019 03:45:00 PM",974,2.17200207719342,17031320100,17031081000,32,8,5,0,2.55,7.55,TRUE,3,41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)",41.9002656868,-87.6321092196,"POINT (-87.6321092196 41.9002656868)"
"db666584e58a9a8dade5b6d115923ba1f92529f7","02/10/2019 05:30:00 PM","02/10/2019 05:30:00 PM",130,0.32658091780651,17031280400,17031243100,28,24,0,0,2.55,2.55,TRUE,3,41.8860057857,-87.671873941,"POINT (-87.671873941 41.8860057857)",41.8923550478,-87.674506788,"POINT (-87.674506788 41.8923550478)"
"445936b811264d2b048c030864dbcc86edc17cb0","02/03/2019 06:00:00 PM","02/03/2019 06:15:00 PM",833,4.60106001984,17031080300,17031839100,8,32,5,1,0,6,TRUE,2,41.9074919303,-87.6357600901,"POINT (-87.6357600901 41.9074919303)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"1fe15b62c3d00a1d648bc1a01359622926a1eb79","02/23/2019 07:15:00 PM","02/23/2019 07:15:00 PM",428,1.13286499408,17031081000,17031081800,8,8,7.5,0,2.55,10.05,FALSE,1,41.9002656868,-87.6321092196,"POINT (-87.6321092196 41.9002656868)",41.8932163595,-87.6378442095,"POINT (-87.6378442095 41.8932163595)"
"4df975548d3d2a576618ac40c5efbbf7bee71f7d","02/03/2019 02:45:00 PM","02/03/2019 03:00:00 PM",938,7.04759697750992,17031833000,17031220602,28,22,12.5,2,2.55,17.05,FALSE,1,41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)",41.9293297134,-87.7119742544,"POINT (-87.7119742544 41.9293297134)"
