"Trip ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area","Fare","Tip","Additional Charges","Trip Total","Shared Trip Authorized","Trips Pooled","Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid Location"
"add807626e7e361d572e441103a6bcdb3d591313","03/16/2019 12:45:00 AM","03/16/2019 01:00:00 AM",325,1.4,NA,NA,60,34,5,0,2.55,7.55,FALSE,1,41.8361501547,-87.6487879519,"POINT (-87.6487879519 41.8361501547)",41.8420761168,-87.6339734222,"POINT (-87.6339734222 41.8420761168)"
"e7fac7099abf7a1de69fb3b8a33ccf371db4ec34","03/09/2019 07:30:00 PM","03/09/2019 07:30:00 PM",148,0.4,17031071000,17031071100,7,7,2.5,0,2.55,5.05,FALSE,1,41.9217014922,-87.6559118484,"POINT (-87.6559118484 41.9217014922)",41.9217781876,-87.6510618838,"POINT (-87.6510618838 41.9217781876)"
"c771880009309ae6f026e4cf2cb274a48ca1882d","03/13/2019 08:30:00 PM","03/13/2019 08:45:00 PM",633,2.5,NA,NA,57,65,5,3,2.55,10.55,TRUE,2,41.8108790078,-87.7263633246,"POINT (-87.7263633246 41.8108790078)",41.7697780588,-87.7269298425,"POINT (-87.7269298425 41.7697780588)"
"cbfada868a616141a189ae7c8c597ae95f94182b","03/21/2019 06:30:00 PM","03/21/2019 07:15:00 PM",2111,8.2,17031150300,17031030200,15,77,7.5,0,2.55,10.05,TRUE,3,41.9605182177,-87.7622859818,"POINT (-87.7622859818 41.9605182177)",41.9944422482,-87.6652247765,"POINT (-87.6652247765 41.9944422482)"
"70989986152b2bb7ddfbb13cde1842741cbbd445","03/03/2019 04:00:00 AM","03/03/2019 04:15:00 AM",483,1.9,NA,NA,24,22,5,0,2.55,7.55,FALSE,1,41.9012069941,-87.6763559892,"POINT (-87.6763559892 41.9012069941)",41.9227606205,-87.6991553432,"POINT (-87.6991553432 41.9227606205)"
"03095268c08b6204d187659e2afc1d2990c48342","03/07/2019 05:15:00 PM","03/07/2019 05:45:00 PM",1182,3.2,17031842200,17031063400,8,6,7.5,1,0,8.5,TRUE,3,41.9049353016,-87.6499072264,"POINT (-87.6499072264 41.9049353016)",41.9346591566,-87.6467297286,"POINT (-87.6467297286 41.9346591566)"
"8163bd38ce0df332b8c9c0a19cf1a72eaf661385","03/08/2019 10:45:00 PM","03/08/2019 11:15:00 PM",2250,27.5,NA,NA,NA,5,32.5,0,2.55,35.05,FALSE,1,NA,NA,NA,41.9477915865,-87.6838349425,"POINT (-87.6838349425 41.9477915865)"
"c88ce7f6f1028657f46901b2ea39f45bc725f7a6","03/08/2019 09:45:00 PM","03/08/2019 10:00:00 PM",443,3.3,17031832200,17031243100,22,24,7.5,2,2.55,12.05,FALSE,1,41.9204515116,-87.6799547678,"POINT (-87.6799547678 41.9204515116)",41.8923550478,-87.674506788,"POINT (-87.674506788 41.8923550478)"
"ab1173e42123371c1a24d4a627973f865fc877a3","03/18/2019 11:45:00 PM","03/18/2019 11:45:00 PM",771,3.7,17031832500,17031080100,7,8,7.5,2,0,9.5,TRUE,2,41.9218774613,-87.6640782395,"POINT (-87.6640782395 41.9218774613)",41.9075200747,-87.6266589003,"POINT (-87.6266589003 41.9075200747)"
"408544479be3afe3d5dbb1d2570a1fdd197d47b6","03/13/2019 10:30:00 PM","03/13/2019 10:45:00 PM",225,1.1,17031210100,17031051000,21,5,2.5,0,2.55,5.05,FALSE,1,41.9428725376,-87.701330291,"POINT (-87.701330291 41.9428725376)",41.9413116172,-87.6856158172,"POINT (-87.6856158172 41.9413116172)"
"0b947f179e8a604614a947e27dd2f2e3c5a79eaf","03/20/2019 10:45:00 AM","03/20/2019 10:45:00 AM",289,1,NA,NA,38,38,5,0,0,5,TRUE,1,41.8129489392,-87.6178596758,"POINT (-87.6178596758 41.8129489392)",41.8129489392,-87.6178596758,"POINT (-87.6178596758 41.8129489392)"
"2ac47c46825fa6bb2ae3e1173d7b79b74644298d","03/17/2019 10:30:00 AM","03/17/2019 11:00:00 AM",1298,11.2,NA,NA,43,28,17.5,0,2.55,20.05,FALSE,1,41.7615779081,-87.5727819867,"POINT (-87.5727819867 41.7615779081)",41.874005383,-87.6635175498,"POINT (-87.6635175498 41.874005383)"
"6105fd0d67ce42c71de2099163918e26443b881f","03/04/2019 06:45:00 AM","03/04/2019 07:00:00 AM",756,3.8,17031221400,17031842200,22,8,10,0,2.55,12.55,FALSE,1,41.9208017043,-87.6945323419,"POINT (-87.6945323419 41.9208017043)",41.9049353016,-87.6499072264,"POINT (-87.6499072264 41.9049353016)"
"f7a9508d96208e3bb1e46ac307ffc419ae564054","03/18/2019 09:00:00 AM","03/18/2019 09:45:00 AM",2335,15.6,17031063000,17031980000,6,76,25,0,7.55,32.55,FALSE,1,41.9363101308,-87.6515625922,"POINT (-87.6515625922 41.9363101308)",41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)"
"45b81e674ad27862ec9b0e6145cb7f6c8ef2aaa0","03/11/2019 12:30:00 PM","03/11/2019 01:00:00 PM",2547,10.8,17031290900,NA,29,NA,7.5,0,2.55,10.05,TRUE,4,41.8624142737,-87.7324696377,"POINT (-87.7324696377 41.8624142737)",NA,NA,NA
"c769d7fa134c3794081032f0aec222a3d414a9dc","03/13/2019 09:45:00 PM","03/13/2019 10:00:00 PM",664,2.8,17031241400,17031071500,24,7,7.5,0,2.55,10.05,FALSE,1,41.906025969,-87.6753116216,"POINT (-87.6753116216 41.906025969)",41.9146162864,-87.6317173661,"POINT (-87.6317173661 41.9146162864)"
"9c3b34b322c468ac715e6646dd06f71e662da71f","03/02/2019 12:15:00 PM","03/02/2019 12:30:00 PM",1394,10.3,17031080202,17031411000,8,41,17.5,0,3.55,21.05,FALSE,1,41.9058577688,-87.6308650266,"POINT (-87.6308650266 41.9058577688)",41.7905062613,-87.5831437169,"POINT (-87.5831437169 41.7905062613)"
"27f46c494ab07fb7da5506d8db23605f6ff25d47","03/08/2019 06:45:00 PM","03/08/2019 07:00:00 PM",1155,5.1,17031070300,17031081600,7,8,12.5,0,2.55,15.05,FALSE,1,41.9290469366,-87.6513108767,"POINT (-87.6513108767 41.9290469366)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"f93d003b1ebf183948e650865d3faffd50e07359","03/12/2019 09:30:00 PM","03/12/2019 09:30:00 PM",386,1.7,17031221600,17031242500,22,24,5,0,2.55,7.55,FALSE,1,41.9212731053,-87.6850821101,"POINT (-87.6850821101 41.9212731053)",41.8994457693,-87.6893191901,"POINT (-87.6893191901 41.8994457693)"
"861a5194d00f00b3972d9ab7c9de6146e197f729","03/26/2019 08:45:00 AM","03/26/2019 09:15:00 AM",2562,11.1,17031980100,17031839100,56,32,22.5,0,7.59,30.09,FALSE,1,41.785998518,-87.7509342894,"POINT (-87.7509342894 41.785998518)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"6df5f609f245c10e69486e48032771dbfde1c71e","03/27/2019 10:45:00 AM","03/27/2019 11:00:00 AM",959,7.4,17031832100,17031320100,6,32,10,0,0.72,10.72,FALSE,1,41.9528229157,-87.6532439924,"POINT (-87.6532439924 41.9528229157)",41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)"
"f0085dbf0fe6a3f0b09b616206e35180390e197e","03/18/2019 11:15:00 PM","03/18/2019 11:45:00 PM",1427,15.5,17031980000,17031242300,76,24,20,0,7.55,27.55,FALSE,1,41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)",41.8995065476,-87.6796002867,"POINT (-87.6796002867 41.8995065476)"
"60efe87330018f864c5da92c5bc99b46ca33cdc6","03/23/2019 11:15:00 PM","03/23/2019 11:30:00 PM",984,8.7,17031010503,17031081403,1,8,12.5,0,2.55,15.05,FALSE,1,42.0003203059,-87.6631267998,"POINT (-87.6631267998 42.0003203059)",41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)"
"0bec74a325080cae3390eed34b5b197215c171ff","03/11/2019 10:30:00 AM","03/11/2019 10:30:00 AM",140,0.2,17031839100,17031839100,32,32,2.5,1,2.55,6.05,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"73041fad73b8c9e4a5c22db611b8222424d1a01e","03/13/2019 07:30:00 AM","03/13/2019 08:00:00 AM",1518,6.9,17031031400,17031839100,3,32,15,0,2.55,17.55,FALSE,1,41.962178629,-87.6453787624,"POINT (-87.6453787624 41.962178629)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"2a285b12767cb7295a8b435e4d2fcb526444d598","03/22/2019 07:30:00 AM","03/22/2019 08:00:00 AM",1350,8.5,NA,NA,23,NA,12.5,0,2.55,15.05,TRUE,1,41.9000696026,-87.7209182385,"POINT (-87.7209182385 41.9000696026)",NA,NA,NA
"aab9c6d72d8cefc3b814778ed40c05ef88c9c8b4","03/26/2019 10:15:00 AM","03/26/2019 10:30:00 AM",985,2.7,17031281900,17031081403,28,8,5,0,0,5,TRUE,2,41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)",41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)"
"2a702cd7dcc0f17ef102a7484b1faf928a9bdfff","03/08/2019 12:45:00 AM","03/08/2019 12:45:00 AM",363,3.1,NA,NA,77,3,5,0,2.55,7.55,TRUE,1,41.9867117999,-87.6634164054,"POINT (-87.6634164054 41.9867117999)",41.96581197,-87.6558787862,"POINT (-87.6558787862 41.96581197)"
"5f59aa79836c8a059bb7d6a5c624f174864aa665","03/23/2019 09:30:00 PM","03/23/2019 09:30:00 PM",383,1.3,17031071500,17031070200,7,7,5,0,2.55,7.55,FALSE,1,41.9146162864,-87.6317173661,"POINT (-87.6317173661 41.9146162864)",41.9290776551,-87.6462934762,"POINT (-87.6462934762 41.9290776551)"
"2135b9d9b14ad3443c7136b03fabe7a57aeb976e","03/11/2019 10:45:00 AM","03/11/2019 11:15:00 AM",1826,13,17031081201,NA,8,NA,20,0,2.55,22.55,FALSE,1,41.8991556134,-87.6262105324,"POINT (-87.6262105324 41.8991556134)",NA,NA,NA
"e506fab78eb1aca861c1aca0e9a08204dcc4f59c","03/16/2019 05:15:00 PM","03/16/2019 05:15:00 PM",187,0.7,NA,NA,26,26,2.5,0,2.55,5.05,FALSE,1,41.8785943576,-87.7302324284,"POINT (-87.7302324284 41.8785943576)",41.8785943576,-87.7302324284,"POINT (-87.7302324284 41.8785943576)"
"d6dbf5c2060839c32cb75ae384cca11735d36b6e","03/03/2019 12:45:00 PM","03/03/2019 01:00:00 PM",799,3.5,17031681100,17031711200,68,71,10,0,0,10,TRUE,1,41.7687668368,-87.6493598032,"POINT (-87.6493598032 41.7687668368)",41.7405850222,-87.6698353627,"POINT (-87.6698353627 41.7405850222)"
"a2fb25f9bc951500a14809442c01589429ab53c2","03/05/2019 08:45:00 PM","03/05/2019 08:45:00 PM",235,0.9,17031160800,17031140702,16,14,2.5,0,2.55,5.05,FALSE,1,41.9502120955,-87.7128142315,"POINT (-87.7128142315 41.9502120955)",41.9631157548,-87.7132293348,"POINT (-87.7132293348 41.9631157548)"
"7f8c973b5b3b260486ba388e7c00a4a672bd0d1f","03/28/2019 05:00:00 PM","03/28/2019 05:45:00 PM",2234,12.1,17031081800,17031980100,8,56,37.5,0,7.85,45.35,FALSE,1,41.8932163595,-87.6378442095,"POINT (-87.6378442095 41.8932163595)",41.785998518,-87.7509342894,"POINT (-87.7509342894 41.785998518)"
"493bb2055830f88a993b66dbb792edeb07fd6f38","03/13/2019 06:15:00 PM","03/13/2019 07:00:00 PM",3106,11.5,NA,NA,6,25,15,0,2.55,17.55,TRUE,3,41.9442266014,-87.6559981815,"POINT (-87.6559981815 41.9442266014)",41.8906088526,-87.7560467111,"POINT (-87.7560467111 41.8906088526)"
"1efff73c0bedee04aae444c9193300c9dfdda744","03/23/2019 10:00:00 AM","03/23/2019 10:15:00 AM",584,2.3,17031243300,17031081600,24,8,7.5,0,2.55,10.05,FALSE,1,41.8924931672,-87.6647458359,"POINT (-87.6647458359 41.8924931672)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"131cbf16f09c53ffb50dca0e06511fd3f7f12c93","03/25/2019 05:45:00 PM","03/25/2019 06:00:00 PM",780,1.5,17031081600,17031243500,8,24,7.5,0,0.72,8.22,FALSE,1,41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)",41.8926581076,-87.6525344838,"POINT (-87.6525344838 41.8926581076)"
"f1fbbb39b70a56dddf23cd88c338d8340d978c8c","03/30/2019 07:45:00 AM","03/30/2019 08:00:00 AM",1062,4.8,17031071400,17031841900,7,28,7.5,0,2.55,10.05,TRUE,2,41.922082541,-87.6341560931,"POINT (-87.6341560931 41.922082541)",41.8679024175,-87.6429586652,"POINT (-87.6429586652 41.8679024175)"
"d5a7c6f1b2c1b3366af2f9e8093f423946db6c4f","03/21/2019 02:30:00 PM","03/21/2019 02:45:00 PM",515,1.4,17031081201,17031081403,8,8,5,0,2.55,7.55,FALSE,1,41.8991556134,-87.6262105324,"POINT (-87.6262105324 41.8991556134)",41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)"
"1673bd1e1e44d260742d4b8e9cc9d6f1428b7437","03/15/2019 10:00:00 PM","03/15/2019 10:00:00 PM",308,1.2,17031242400,17031241400,24,24,5,1,2.55,8.55,FALSE,1,41.8994222543,-87.684490122,"POINT (-87.684490122 41.8994222543)",41.906025969,-87.6753116216,"POINT (-87.6753116216 41.906025969)"
"2f11d882a6318da0655b1a03fa211afc76dcd607","03/08/2019 11:15:00 PM","03/08/2019 11:45:00 PM",1984,18.8,17031980000,17031839000,76,32,27.5,0,7.55,35.05,FALSE,1,41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)",41.8710158803,-87.6314065252,"POINT (-87.6314065252 41.8710158803)"
"b211270fa697da76145b27446c1535199444e009","03/07/2019 06:30:00 PM","03/07/2019 06:45:00 PM",949,4.7,17031839100,17031840700,32,30,15,0,2.55,17.55,FALSE,1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.853834685,-87.6935387966,"POINT (-87.6935387966 41.853834685)"
"a3d44f585b7160882987da1561f20e2da309de38","03/01/2019 01:15:00 PM","03/01/2019 01:30:00 PM",481,2.1,NA,NA,44,44,5,0,2.55,7.55,FALSE,1,41.7402057565,-87.6159695226,"POINT (-87.6159695226 41.7402057565)",41.7402057565,-87.6159695226,"POINT (-87.6159695226 41.7402057565)"
"d26a1b632369d4118e9845db57da84d3718b546f","03/22/2019 07:45:00 PM","03/22/2019 08:00:00 PM",416,1.5,17031252000,17031251400,25,25,5,1,2.55,8.55,TRUE,1,41.88366198,-87.7698815509,"POINT (-87.7698815509 41.88366198)",41.8909693802,-87.770122842,"POINT (-87.770122842 41.8909693802)"
"a8c7a41d25de497bca2f34d0aa11ef6d2dc25f21","03/08/2019 11:00:00 AM","03/08/2019 11:00:00 AM",261,1.2,17031200200,17031220902,20,22,5,0,2.55,7.55,FALSE,1,41.9278531896,-87.7356259487,"POINT (-87.7356259487 41.9278531896)",41.9227117587,-87.7218357934,"POINT (-87.7218357934 41.9227117587)"
"bbdcaca8df23e297349cfbbb4ce69020c81557c5","03/05/2019 04:45:00 PM","03/05/2019 05:30:00 PM",2480,6.3,17031833000,17031061100,28,6,12.5,0,0,12.5,TRUE,4,41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)",41.9491397709,-87.6568039088,"POINT (-87.6568039088 41.9491397709)"
"3425baf68388d9afb032782690043d0ad929dd56","03/01/2019 03:00:00 PM","03/01/2019 03:15:00 PM",1143,7.8,17031411000,17031310300,41,31,12.5,0,2.55,15.05,FALSE,1,41.7905062613,-87.5831437169,"POINT (-87.5831437169 41.7905062613)",41.8561441046,-87.6489783241,"POINT (-87.6489783241 41.8561441046)"
"030c4ec0568d09088a1676a207e0d92cbcd3a8a2","03/15/2019 04:45:00 PM","03/15/2019 05:00:00 PM",806,1.4,17031838300,17031081600,8,8,7.5,0,2.55,10.05,FALSE,1,41.9015669095,-87.6384040116,"POINT (-87.6384040116 41.9015669095)",41.8920726347,-87.6288741572,"POINT (-87.6288741572 41.8920726347)"
"62732c8afbb05ea2a4ab5c5c0ef4808bc7ab4366","03/03/2019 06:30:00 PM","03/03/2019 07:00:00 PM",2145,26.1,17031980000,17031839100,76,32,32.5,0,8.57,41.07,FALSE,1,41.9790708201,-87.9030396611,"POINT (-87.9030396611 41.9790708201)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"e4b8ef6e0a15a8d0c8183e11c0a58f8c94e31dfe","03/24/2019 08:45:00 PM","03/24/2019 09:15:00 PM",1441,5.9,17031672000,17031430101,67,43,12.5,0,2.55,15.05,FALSE,1,41.7612780797,-87.6710019948,"POINT (-87.6710019948 41.7612780797)",41.7697847237,-87.5739519554,"POINT (-87.5739519554 41.7697847237)"
"8051ef0072603ec28b50535885a0dce3c908e10c","03/11/2019 09:30:00 AM","03/11/2019 09:45:00 AM",457,1.2,17031833100,17031839100,28,32,5,0,2.55,7.55,FALSE,1,41.8790669938,-87.657005027,"POINT (-87.657005027 41.8790669938)",41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)"
"f9ef93632ad83b0d9f2ae592634ecdd3a21e2d18","03/29/2019 07:15:00 PM","03/29/2019 07:30:00 PM",727,3,17031081300,17031842200,8,8,7.5,5,2.55,15.05,FALSE,1,41.8983317935,-87.6207628651,"POINT (-87.6207628651 41.8983317935)",41.9049353016,-87.6499072264,"POINT (-87.6499072264 41.9049353016)"
