Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location
0e2185220f0f6482522065094f76eb50477649d7,5/16/2019 20:00,5/16/2019 20:30,2203,15.8,17031980000,17031071700,76,7,25,5,7.55,37.55,FALSE,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.91286892,-87.64107075,POINT (-87.6410707462 41.9128689225)
036bfcbd8c53ac98f8351ea6a4a20f96d380c3a7,5/10/2019 12:45,5/10/2019 12:45,609,1.8,17031843700,17031061200,5,6,5,0,2.55,7.55,FALSE,1,41.94481375,-87.69077501,POINT (-87.6907750098 41.9448137543),41.94906053,-87.6616429,POINT (-87.6616429039 41.9490605256)
55c42a8b6ec5f7d72af5e27dcc7a4df70ea35436,5/13/2019 23:15,5/13/2019 23:30,415,1.9,17031050200,17031062100,5,6,5,2,2.55,9.55,FALSE,1,41.95773557,-87.6837181,POINT (-87.683718102 41.957735565),41.94269184,-87.65177051,POINT (-87.6517705068 41.9426918444)
d59b9953398e7235790c2d51a4c4f69d544b7eab,5/22/2019 8:45,5/22/2019 9:30,2131,10.3,17031160800,17031842000,16,35,20,0,2.55,22.55,FALSE,1,41.9502121,-87.71281423,POINT (-87.7128142315 41.9502120955),41.83496233,-87.62515413,POINT (-87.6251541272 41.8349623252)
80b50e3a5463169778d626fdf1b312c1b24845f6,5/3/2019 17:00,5/3/2019 17:15,637,1.1,17031081401,17031081000,8,8,10,1,0,11,TRUE,1,41.89503345,-87.61971067,POINT (-87.6197106717 41.8950334495),41.90026569,-87.63210922,POINT (-87.6321092196 41.9002656868)
ed6c15ffba532a80b474f8d55455b44295914cb8,5/7/2019 18:15,5/7/2019 18:30,803,1.8,17031839000,17031081800,32,8,7.5,0,2.55,10.05,FALSE,1,41.87101588,-87.63140653,POINT (-87.6314065252 41.8710158803),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595)
3a0ffe637695b7b1a97550aa979b8ad937a71a24,5/9/2019 13:00,5/9/2019 13:00,697,7,17031031300,17031081403,3,8,5,2,2.55,9.55,TRUE,2,41.97292932,-87.65029007,POINT (-87.6502900743 41.9729293173),41.89092203,-87.61886835,POINT (-87.6188683546 41.8909220259)
bb1597be1ae85d8df68f5591fff33857457f8dbf,5/9/2019 11:15,5/9/2019 11:30,1030,4.6,NA,NA,28,58,10,0,2.55,12.55,FALSE,1,41.87400538,-87.66351755,POINT (-87.6635175498 41.874005383),41.81736621,-87.6988608,POINT (-87.6988607973 41.8173662079)
6b26c52e11917f6819d0a66d8d27f30618d455b6,5/19/2019 16:00,5/19/2019 16:00,442,2.3,NA,NA,10,11,7.5,2,2.55,12.05,FALSE,1,41.9850151,-87.80453201,POINT (-87.8045320063 41.9850151008),41.97882953,-87.7711667,POINT (-87.771166703 41.9788295262)
76640394ee5773ee070a8dbf708ade50948fc7c5,5/14/2019 6:15,5/14/2019 6:45,2339,14.2,17031061100,17031980000,6,76,25,6,7.55,38.55,FALSE,1,41.94913977,-87.65680391,POINT (-87.6568039088 41.9491397709),41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201)
