"Trip.ID","Trip.Start.Timestamp","Trip.End.Timestamp","Trip.Seconds","Trip.Miles","Pickup.Census.Tract","Dropoff.Census.Tract","Pickup.Community.Area","Dropoff.Community.Area","Fare","Tip","Additional.Charges","Trip.Total","Shared.Trip.Authorized","Trips.Pooled","Pickup.Centroid.Latitude","Pickup.Centroid.Longitude","Pickup.Centroid.Location","Dropoff.Centroid.Latitude","Dropoff.Centroid.Longitude","Dropoff.Centroid.Location"
"a68fa44fa3e5e8e05e9c9820724a9ab629ad20b0","07/17/2019 02:30:00 PM","07/17/2019 03:00:00 PM",2092,12.9,NA,NA,65,8,22.5,0,2.55,25.05,"false",1,41.7697780588,-87.7269298425,"POINT (-87.7269298425 41.7697780588)",41.899602111,-87.6333080367,"POINT (-87.6333080367 41.899602111)"
"92bedbff6c85339ab973a2e599a8004fa65b052e","07/28/2019 02:45:00 AM","07/28/2019 03:00:00 AM",907,2.5,17031833000,17031081100,28,8,7.5,0,2.55,10.05,"false",1,41.8852813201,-87.6572331997,"POINT (-87.6572331997 41.8852813201)",41.9002212967,-87.6291051864,"POINT (-87.6291051864 41.9002212967)"
"e0b324cc3bdaa5959d1c7ed10a5ea8e49e9112ac","07/03/2019 11:45:00 PM","07/03/2019 11:45:00 PM",461,2,17031050800,17031063000,5,6,5,0,2.55,7.55,"false",1,41.9450101512,-87.6809282247,"POINT (-87.6809282247 41.9450101512)",41.9363101308,-87.6515625922,"POINT (-87.6515625922 41.9363101308)"
"5b801367ac75f737cf0195a1da8062e3349c21bc","07/22/2019 05:15:00 PM","07/22/2019 05:45:00 PM",1760,7.3,17031839100,17031390700,32,39,15,5,2.55,22.55,"false",1,41.8809944707,-87.6327464887,"POINT (-87.6327464887 41.8809944707)",41.8059116993,-87.5874792581,"POINT (-87.5874792581 41.8059116993)"
"2cc848d5a56fa5ed8b6f45df293e7538a82c5924","07/04/2019 09:30:00 PM","07/04/2019 09:45:00 PM",932,4.4,17031081201,17031242500,8,24,10,0,2.55,12.55,"false",1,41.8991556134,-87.6262105324,"POINT (-87.6262105324 41.8991556134)",41.8994457693,-87.6893191901,"POINT (-87.6893191901 41.8994457693)"
"619d81de3c48b0467c622e88ff7f8fcb59858557","07/14/2019 12:30:00 AM","07/14/2019 12:45:00 AM",846,3.3,17031081403,17031842300,8,24,7.5,0,2.55,10.05,"false",1,41.8909220259,-87.6188683546,"POINT (-87.6188683546 41.8909220259)",41.8983058696,-87.6536139825,"POINT (-87.6536139825 41.8983058696)"
"21a58398c280b76ab36d87daf9cf1702da976129","07/22/2019 08:45:00 PM","07/22/2019 08:45:00 PM",694,2.5,17031030706,17031040202,77,4,7.5,0,2.55,10.05,"false",1,41.9801575735,-87.6522740174,"POINT (-87.6522740174 41.9801575735)",41.9798553089,-87.6940960217,"POINT (-87.6940960217 41.9798553089)"
"06567650d951300ba593ef2beced2d9328e729a3","07/02/2019 05:45:00 PM","07/02/2019 06:00:00 PM",1101,7.8,17031842800,17031280100,58,28,5,0,2.55,7.55,"true",2,41.8081895757,-87.6990971733,"POINT (-87.6990971733 41.8081895757)",41.8853000224,-87.6428084655,"POINT (-87.6428084655 41.8853000224)"
"da2e77939a88a963e38a693c6fae38525a957977","07/27/2019 11:15:00 AM","07/27/2019 11:30:00 AM",1031,2.6,17031242000,17031081401,24,8,7.5,5,2.55,15.05,"false",1,41.8997373884,-87.6649539167,"POINT (-87.6649539167 41.8997373884)",41.8950334495,-87.6197106717,"POINT (-87.6197106717 41.8950334495)"
"51008be2217453d0b857aa2cc7d19d3c14138ee9","07/26/2019 08:30:00 AM","07/26/2019 09:00:00 AM",2098,14.6,17031838100,NA,28,NA,15,0,2.55,17.55,"true",2,41.8786674201,-87.6716536214,"POINT (-87.6716536214 41.8786674201)",NA,NA,""
