"Trip ID","Trip Start Timestamp","Trip End Timestamp","Trip Seconds","Trip Miles","Pickup Census Tract","Dropoff Census Tract","Pickup Community Area","Dropoff Community Area","Fare","Tip","Additional Charges","Trip Total","Shared Trip Authorized","Trips Pooled","Pickup Centroid Latitude","Pickup Centroid Longitude","Pickup Centroid Location","Dropoff Centroid Latitude","Dropoff Centroid Longitude","Dropoff Centroid Location"
"0aa9d28cd9e6126a2273278c6622f178bd210920","09/16/2019 02:15:00 PM","09/16/2019 03:00:00 PM",3163,24.2,NA,NA,76,42,35,0,2.55,37.55,FALSE,1,41.9802643146,-87.913624596,"POINT (-87.913624596 41.9802643146)",41.7788768603,-87.5949254391,"POINT (-87.5949254391 41.7788768603)"
"d8b9722321ff576eee70b83c612f2bd4a7422e1f","09/10/2019 10:15:00 PM","09/10/2019 10:45:00 PM",1320,8.6,NA,NA,39,51,15,0,2.55,17.55,FALSE,1,41.8089162826,-87.5961833442,"POINT (-87.5961833442 41.8089162826)",41.6906333472,-87.5700582686,"POINT (-87.5700582686 41.6906333472)"
"32835c1bcfdfb116ee22553c2772bee4f1e2ef0c","09/14/2019 11:30:00 AM","09/14/2019 12:00:00 PM",1755,10,NA,NA,NA,56,17.5,4,7.55,29.05,FALSE,1,NA,NA,NA,41.7925923603,-87.7696154528,"POINT (-87.7696154528 41.7925923603)"
"a854af3f2329ba792c4bb31ec35a1ea5f60c5421","09/21/2019 09:45:00 PM","09/21/2019 10:00:00 PM",1019,4.1,17031050200,17031830600,5,1,10,0,2.55,12.55,FALSE,1,41.957735565,-87.683718102,"POINT (-87.683718102 41.957735565)",42.0016981937,-87.6735740325,"POINT (-87.6735740325 42.0016981937)"
"f840a74dd6861464cd2e3ac2b786311e9103cdf9","09/03/2019 09:30:00 PM","09/03/2019 09:45:00 PM",718,3.5,17031280100,17031330100,28,33,7.5,0,2.55,10.05,FALSE,1,41.8853000224,-87.6428084655,"POINT (-87.6428084655 41.8853000224)",41.859349715,-87.6173580061,"POINT (-87.6173580061 41.859349715)"
"a1e9e7fde87ee01ccfd4b39be2edda7f009f064d","09/08/2019 01:30:00 AM","09/08/2019 02:00:00 AM",1699,3.6,17031570300,17031640400,57,64,5,0,2.55,7.55,TRUE,2,41.804147373,-87.7308284896,"POINT (-87.7308284896 41.804147373)",41.7811787292,-87.7912476506,"POINT (-87.7912476506 41.7811787292)"
"bc32587a64714e48bebd5e677041c2244be66c68","09/09/2019 07:15:00 PM","09/09/2019 07:45:00 PM",1132,4.1,17031070300,17031281900,7,28,10,0,2.55,12.55,FALSE,1,41.9290469366,-87.6513108767,"POINT (-87.6513108767 41.9290469366)",41.8792550844,-87.642648998,"POINT (-87.642648998 41.8792550844)"
"4ded6b67e2a36c1574b4b1e406310623b398610c","09/09/2019 06:00:00 PM","09/09/2019 06:00:00 PM",467,1.4,17031280100,17031320100,28,32,5,0,2.55,7.55,FALSE,1,41.8853000224,-87.6428084655,"POINT (-87.6428084655 41.8853000224)",41.8849871918,-87.6209929134,"POINT (-87.6209929134 41.8849871918)"
"f6d1ff14f88b9be07de921cc608192a3b15fcff8","09/20/2019 01:45:00 AM","09/20/2019 02:00:00 AM",954,4.1,17031080202,17031243400,8,24,7.5,0,0,7.5,TRUE,3,41.9058577688,-87.6308650266,"POINT (-87.6308650266 41.9058577688)",41.8925368719,-87.6598643178,"POINT (-87.6598643178 41.8925368719)"
"96ad118c0f6dc453483413838c92bd9c32589536","09/14/2019 12:45:00 PM","09/14/2019 01:30:00 PM",2361,12.3,17031809400,17031081401,NA,8,20,5,3,28,FALSE,1,NA,NA,NA,41.8950334495,-87.6197106717,"POINT (-87.6197106717 41.8950334495)"
